year;month;inflasiy;inflasim;indeks_saham;kursj;kursb;date
2020;1;2,68;0,39;961,98;13970,51;13831,50;1
2020;2;2,98;0,28;879,53;13730,31;13593,69;2
2020;3;2,96;0,10;691,13;14305,17;14162,83;3
2020;4;2,67;0,08;713,64;16495,07;16330,94;4
2020;5;2,19;0,07;725,83;15232,79;15081,22;5
2020;6;1,96;0,18;756,20;14806,67;14659,34;6
2020;7;1,54;-0,10;803,01;14412,71;14269,30;7
2020;8;1,32;-0,05;824,19;14726,27;14579,74;8
2020;9;1,42;-0,05;737,15;14688,08;14541,93;9
2020;10;1,44;0,07;790,50;14950,38;14801,62;10
2020;11;1,59;0,28;883,06;14763,45;14616,55;11
2020;12;1,68;0,45;934,89;14248,89;14107,11;12
2021;1;1,55;0,26;911,98;14175,53;14034,48;13
2021;2;1,38;0,10;944,75;14112,21;13971,79;14
2021;3;1,37;0,08;902,79;14371,50;14228,50;15
2021;4;1,42;0,13;893,73;14649,89;14504,12;16
2021;5;1,68;0,32;888,65;14540,34;14395,66;17
2021;6;1,33;-0,16;844,85;14381,55;14238,45;18
2021;7;1,52;0,08;823,04;14614,71;14469,29;19
2021;8;1,59;0,03;866,49;14563,46;14418,55;20
2021;9;1,60;-0,04;894,68;14377,53;14234,47;21
2021;10;1,66;0,12;952,59;14392,61;14249,40;22
2021;11;1,75;0,37;930,98;14241,86;14100,15;23
2021;12;1,87;0,57;931,41;14391,60;14248,40;24
2022;1;2,18;0,56;939,63;14340,35;14197,66;25
2022;2;2,06;-0,02;985,54;14452,91;14309,10;26
2022;3;2,64;0,66;1022,99;14440,85;14297,16;27
2022;4;3,47;0,95;1085,44;14428,79;14285,22;28
2022;5;3,55;0,40;1056,78;14490,09;14345,91;29
2022;6;4,35;0,61;991,94;14616,72;14471,28;30
2022;7;4,94;0,64;978,63;14956,41;14807,59;31
2022;8;4,69;-0,21;1022,82;14934,30;14785,70;32
2022;9;5,95;1,17;1011,48;14927,26;14778,74;33
2022;10;5,71;-0,11;1014,12;15323,24;15170,76;34
2022;11;5,42;0,09;1008,28;15673,98;15518,02;35
2022;12;5,51;0,66;937,18;15820,71;15663,29;36
